Reference	Value	Datasheet	Footprint	Qty	DNP
BASS1	A1M	~	Connector_Wire:SolderWire-0.5sqmm_1x03_P4.8mm_D0.9mm_OD2.3mm	1	
C1,C7,C15,C16	22n	~	Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	4	
C2,C6,C13	100p	~	Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm	3	
C3,C4,C5,C17	1u	~	Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	4	
C8,C23	2n2	~	Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	2	
C9,C12,C18	2u2	~	Capacitor_THT:C_Rect_L7.2mm_W11.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	3	
C10	47p	~	Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	1	
C11	4n7	~	Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	1	
C14	560p	~	Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm	1	
C19	330n	~	Capacitor_THT:C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2	1	
C20,C22	10u	~	Capacitor_THT:C_Rect_L7.2mm_W11.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	2	
C21	1n	~	Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2	1	
C24,C25,C26,C27,C28	47u	~	Capacitor_THT:CP_Radial_D6.3mm_P2.50mm	5	
D1,D2,D5,D6	1N4148	~	Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal	4	
D3,D4	1N4734A	~	Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal	2	
